GameID,Game time,Result,Champion,Role,KillsPM,DeathsPM,AssistsPM,CSM,GPM,DPM,HPM,DTPM
23241,35.57,LOSS,Sejuani,JUNGLE,0.028113578858588697,0.028113578858588697,0.0843407365757661,5.7,296,186,383.66601068316,904.6949676693843
23241,35.57,LOSS,Zilean,MID,0.028113578858588697,0.0,0.11245431543435479,8.8,372,418,164.54877705931966,268.00674725892605
23241,35.57,LOSS,Varus,ADC,0.11245431543435479,0.056227157717177394,0.028113578858588697,11.0,464,475,14.197357323587292,280.96710711273545
23241,35.57,LOSS,Taric,SUPPORT,0.0,0.0843407365757661,0.1686814731515322,1.2,229,52,217.62721394433513,316.39021647455723
23103,36.92,LOSS,Gnar,TOP,0.027085590465872156,0.10834236186348863,0.08125677139761646,7.5,376,466,187.51354279523292,697.8331527627302
23103,36.92,LOSS,Elise,JUNGLE,0.0,0.05417118093174431,0.08125677139761646,6.0,290,358,220.34127843986997,521.6955579631635
23103,36.92,LOSS,Zoe,MID,0.05417118093174431,0.05417118093174431,0.08125677139761646,8.8,344,582,77.70855904658721,369.6370530877573
23103,36.92,LOSS,Kalista,ADC,0.08125677139761646,0.05417118093174431,0.027085590465872156,8.5,375,405,29.875406283856986,325.94799566630553
23103,36.92,LOSS,Taric,SUPPORT,0.0,0.10834236186348863,0.13542795232936078,1.1,191,53,285.7800650054171,424.37703141928495
23103,36.92,WIN,Aatrox,TOP,0.10834236186348863,0.027085590465872156,0.10834236186348863,8.3,398,349,389.5449620801733,854.8754062838569
23103,36.92,WIN,Trundle,JUNGLE,0.05417118093174431,0.05417118093174431,0.21668472372697725,4.2,297,144,562.1885157096424,938.5157096424701
23103,36.92,WIN,Azir,MID,0.10834236186348863,0.027085590465872156,0.18959913326110509,9.1,419,500,115.52004333694474,334.47995666305525
23103,36.92,WIN,Aphelios,ADC,0.10834236186348863,0.0,0.16251354279523292,11.1,495,724,28.846153846153843,198.21235102925243
23103,36.92,WIN,Braum,SUPPORT,0.0,0.05417118093174431,0.27085590465872156,0.8,224,94,69.47453954496207,366.06175514626216
23104,42.37,WIN,Ornn,TOP,0.023601604909133822,0.11800802454566911,0.25961765400047204,5.8,303,285,186.0278498937928,1047.2976162379043
23104,42.37,WIN,Jarvan IV,JUNGLE,0.09440641963653529,0.09440641963653529,0.3068208638187397,4.6,340,318,285.1309889072457,787.7743686570687
23104,42.37,WIN,Zoe,MID,0.09440641963653529,0.023601604909133822,0.25961765400047204,6.6,380,804,133.77389662497052,397.4746282747227
23104,42.37,WIN,Miss Fortune,ADC,0.2124144441822044,0.11800802454566911,0.16521123436393675,8.9,447,766,39.46188340807175,474.10903941468024
23104,42.37,WIN,Rakan,SUPPORT,0.023601604909133822,0.14160962945480293,0.35402407363700733,0.9,222,94,84.21052631578948,393.34434741562427
23104,42.37,LOSS,Kayle,TOP,0.18881283927307058,0.07080481472740147,0.2124144441822044,8.6,448,812,489.7097002596177,585.3434033514279
23104,42.37,LOSS,RekSai,JUNGLE,0.09440641963653529,0.09440641963653529,0.28321925890960586,4.6,326,291,461.08095350483836,858.7915978286524
23104,42.37,LOSS,LeBlanc,MID,0.16521123436393675,0.047203209818267644,0.16521123436393675,7.6,380,673,354.49610573519004,683.7384942176068
23104,42.37,LOSS,Varus,ADC,0.047203209818267644,0.14160962945480293,0.28321925890960586,8.2,380,673,51.144677838092996,432.098182676422
23104,42.37,LOSS,Braum,SUPPORT,0.0,0.09440641963653529,0.4248288883644088,1.2,224,139,164.07835732829832,552.8675949964598
23105,31.47,WIN,Gangplank,TOP,0.06355258976803305,0.03177629488401652,0.22243406418811568,7.6,390,759,252.30378137909122,526.3107721639657
23105,31.47,WIN,Sejuani,JUNGLE,0.06355258976803305,0.0,0.2542103590721322,5.7,327,278,488.30632348268193,817.6676199555133
23105,31.47,WIN,LeBlanc,MID,0.22243406418811568,0.03177629488401652,0.15888147442008263,8.4,434,767,302.00190657769303,615.8563711471243
23105,31.47,WIN,Varus,ADC,0.06355258976803305,0.1271051795360661,0.28598665395614875,8.1,375,659,101.87480139815698,441.2456307594535
23105,31.47,WIN,Taric,SUPPORT,0.03177629488401652,0.03177629488401652,0.34953924372418177,1.2,242,138,693.3587543692406,521.6078805211313
23105,31.47,LOSS,Ornn,TOP,0.06355258976803305,0.09532888465204957,0.03177629488401652,7.3,336,488,91.89704480457578,872.9265967588179
23105,31.47,LOSS,Jarvan IV,JUNGLE,0.06355258976803305,0.1271051795360661,0.1271051795360661,4.5,291,145,219.73307912297426,850.7467429297744
23105,31.47,LOSS,Sylas,MID,0.06355258976803305,0.1271051795360661,0.06355258976803305,6.9,318,470,259.2945662535748,809.5964410549731
23105,31.47,LOSS,Miss Fortune,ADC,0.03177629488401652,0.06355258976803305,0.1271051795360661,9.2,391,549,11.757229107086115,431.39497934540833
23105,31.47,LOSS,Bard,SUPPORT,0.0,0.03177629488401652,0.19065776930409914,1.2,213,189,212.20209723546236,370.09850651414047
23100,26.15,WIN,Ornn,TOP,0.0,0.03824091778202677,0.22944550669216063,9.1,381,245,50.40152963671128,628.8336520076482
23100,26.15,WIN,Olaf,JUNGLE,0.19120458891013387,0.0,0.15296367112810708,6.3,401,301,367.07456978967497,1044.7036328871893
23100,26.15,WIN,Azir,MID,0.07648183556405354,0.03824091778202677,0.22944550669216063,10.0,444,798,75.71701720841301,487.6481835564054
23100,26.15,WIN,Varus,ADC,0.2676864244741874,0.03824091778202677,0.11472275334608031,8.8,485,928,6.003824091778203,268.45124282982795
23100,26.15,WIN,Morgana,SUPPORT,0.03824091778202677,0.07648183556405354,0.4206500956022945,1.0,307,397,118.16443594646272,341.9885277246654
23100,26.15,LOSS,Jayce,TOP,0.03824091778202677,0.03824091778202677,0.03824091778202677,9.3,372,665,45.46845124282983,388.0688336520077
23100,26.15,LOSS,Jarvan IV,JUNGLE,0.03824091778202677,0.11472275334608031,0.11472275334608031,4.7,289,202,214.37858508604208,791.5869980879542
23100,26.15,LOSS,Anivia,MID,0.0,0.15296367112810708,0.03824091778202677,9.0,336,241,88.45124282982792,731.0516252390058
23100,26.15,LOSS,Nautilus,ADC,0.11472275334608031,0.11472275334608031,0.03824091778202677,4.9,309,192,66.00382409177821,887.5717017208414
23100,26.15,LOSS,Senna,SUPPORT,0.0,0.15296367112810708,0.15296367112810708,1.5,229,321,332.9254302103251,450.78393881453155
23101,28.08,LOSS,Jayce,TOP,0.03561253561253561,0.14245014245014245,0.2849002849002849,7.9,388,594,41.061253561253565,431.7307692307693
23101,28.08,LOSS,Trundle,JUNGLE,0.03561253561253561,0.0,0.2849002849002849,4.5,285,134,433.2621082621083,765.8831908831909
23101,28.08,LOSS,Galio,MID,0.2136752136752137,0.0,0.14245014245014245,7.5,391,414,62.46438746438747,453.0626780626781
23101,28.08,LOSS,Kalista,ADC,0.07122507122507123,0.0,0.2136752136752137,10.6,444,509,40.491452991452995,370.61965811965814
23101,28.08,LOSS,Taric,SUPPORT,0.03561253561253561,0.0,0.2849002849002849,1.2,244,93,649.3233618233619,364.42307692307696
23101,28.08,WIN,Irelia,TOP,0.03561253561253561,0.10683760683760685,0.07122507122507123,7.6,316,204,158.36894586894587,685.7193732193732
23101,28.08,WIN,Jarvan IV,JUNGLE,0.03561253561253561,0.10683760683760685,0.07122507122507123,5.7,295,205,229.73646723646726,723.4330484330485
23101,28.08,WIN,LeBlanc,MID,0.07122507122507123,0.07122507122507123,0.0,8.3,343,667,98.3974358974359,490.8119658119658
23101,28.08,WIN,Varus,ADC,0.0,0.07122507122507123,0.07122507122507123,9.7,371,485,41.80911680911681,276.3888888888889
23101,28.08,WIN,Thresh,SUPPORT,0.0,0.03561253561253561,0.0,1.1,193,79,10.042735042735043,215.02849002849004
23102,35.78,WIN,Sylas,TOP,0.08384572386808273,0.08384572386808273,0.11179429849077696,8.5,388,309,142.2582448295137,556.1486864169927
23102,35.78,WIN,Olaf,JUNGLE,0.13974287311347122,0.08384572386808273,0.22358859698155392,7.3,422,344,331.27445500279487,947.8200111794298
23102,35.78,WIN,Aatrox,MID,0.16769144773616546,0.02794857462269424,0.08384572386808273,10.6,468,551,412.29737283398543,784.2929010620458
23102,35.78,WIN,Varus,ADC,0.02794857462269424,0.05589714924538848,0.27948574622694244,9.4,412,776,13.527110117384012,289.88261598658465
23102,35.78,WIN,Morgana,SUPPORT,0.08384572386808273,0.02794857462269424,0.27948574622694244,0.9,250,223,90.49748462828396,202.48742314141978
23102,35.78,LOSS,Ornn,TOP,0.05589714924538848,0.05589714924538848,0.11179429849077696,7.7,336,301,81.80547792062605,706.3722750139742
23102,35.78,LOSS,Jarvan IV,JUNGLE,0.05589714924538848,0.13974287311347122,0.1956400223588597,4.6,286,154,163.41531581889322,670.2627166014533
23102,35.78,LOSS,Galio,MID,0.05589714924538848,0.05589714924538848,0.05589714924538848,8.2,343,287,88.40134153158189,494.6338736724427
23102,35.78,LOSS,Miss Fortune,ADC,0.08384572386808273,0.13974287311347122,0.11179429849077696,9.5,425,475,72.8339854667412,469.2286193404136
23102,35.78,LOSS,Nautilus,SUPPORT,0.02794857462269424,0.11179429849077696,0.13974287311347122,1.1,207,171,46.22694242593627,425.48910005589715
